id,name,type,sex,age,presentation,party,position,state,label
BDEW,Bundesverband der Energie- und Wasserwirtschaft,2,99,99,2,99,99,99,BDEW
BDI,Bundesverband der deutschen Industrie,2,99,99,2,99,99,99,BDI
TEL,Telekom,2,99,99,2,99,99,99,TEL
McK,McKinsey,2,99,99,2,99,99,99,McK
VKU,Verband Kommunlare Unternehmen,2,99,99,2,99,99,99,VKU
StaD,Stadtentwaesserung Dresden,2,99,99,5,99,99,14,StaD
EnBW,EnBW,2,99,99,2,99,99,99,EnBW
GRU,Buendnis 90/ Die Gruenen,2,99,99,1,4,99,99,GRU
DIHT,Deutscher Industrie- und Handelskammertag,2,99,99,2,99,99,99,DIHT
ALB,Entsorgungskonzern Alba,2,99,99,2,99,99,99,ALB
BUB,Initative Buirer für Buir,2,99,99,5,99,99,99,BUB
GZW,Gruene Zukunft Welzow,2,99,99,4,99,99,99,GZW
StVW,Stadtverordnetenversammlung von Welzow,2,99,99,5,99,99,14,StVW
NBBG,Netzwerk Bergbaugeschaedigter,2,99,99,5,99,99,99,NBBG
SprT,Spremberger Tuche,2,99,99,2,99,99,11,SprT
BSp,Buergermeisteramt Sprember,2,99,99,5,99,99,11,BSp
LARE,Landratsamt Rhein-Erft-Kreis,2,99,99,5,99,99,4,LARE
BBr,Buergermeisteramt Bruehl,2,99,99,5,99,99,4,BBr
LEE,Landesverband Erneuerbare Enerigen NRW,2,99,99,5,99,99,4,LEE
IGBCE,"Industriegewerkschaft Bergbau, Chemie, Energie",2,99,99,3,99,99,99,IGBCE
VER,Verdi,2,99,99,3,99,99,99,VER
Eon,Eon,2,99,99,2,99,99,99,Eon
DGB,Deutscher Gewerkschaftsbund,2,99,99,3,99,99,99,DGB
GRE,Greenpeace,2,99,99,4,99,99,99,GRE
BUND,Bund fuer Umwelt und Naturschutz Deutschland,2,99,99,4,99,99,99,BUND
DNR,Dachverband Deutscher Naturschutzring,2,99,99,4,99,99,99,DNR
NFD,Naturfreunde Deutschland,2,99,99,4,99,99,99,NFD
UNIZ,Universitaet Zuerich,2,99,99,6,99,99,99,UNIZ
WZB,Wissenschaftszentrum Berlin für Sozialforschung,2,99,99,6,99,99,99,WZB
HUB,Humboldt-Universitaet Berlin,2,99,99,6,99,99,10,HUB
DGS,Deutsche Gesellschaft fuer Soziologie,2,99,99,6,99,99,99,DGS
BAG,Bundesagentur fuer Arbeit,2,99,99,2,99,99,99,BAG
OKO,Oeko Institut,2,99,99,4,99,99,99,OKO
PIK,Potsdam-Institut fuer Klimafolgenforschung,2,99,99,6,99,99,11,PIK
UNIP,Universitaet Potsdam,2,99,99,6,99,99,11,UNIP
SRC,Stockholm Resilience Centre,2,99,99,6,99,99,99,SRC
IPCC,Weltklimarat,2,99,99,4,99,99,99,IPCC
UNIK,Universitaet Kiel,2,99,99,6,99,99,9,UNIK
FRI,Frauenhofer Institut,2,99,99,6,99,99,15,FRI
UNIH,Universitaet Halle an der Saale,2,99,99,6,99,99,15,UNIH
PKM,Parlamentskreis Mittelstand,2,99,99,1,99,99,99,PKM
AWE,Ausschuss fuer Wirtschaft und Energie,2,99,99,2,99,99,99,AWE
PBNE,Parlamentarischer Beirat fuer nachhaltige Entwicklung,2,99,99,1,99,99,99,PBNE
